Id,compound
279768,0.1571
279769,0.8481
279770,-0.5806
279775,0.8591
279779,0.34
279780,0.6956
279781,0.1027
279783,0.8572
279785,-0.3993
279787,0.9271
279789,0.6427
279790,0.7474
279793,0.0
279802,0.8319
279804,0.8806
279805,-0.4215
279808,-0.0516
279810,0.9797
279812,0.9666
352059,0.9531
352061,0.4019
352062,0.9819
352063,0.9258
352066,-0.7717
352071,0.6757
352073,0.6597
352076,0.0706
352079,0.8749
352080,0.6369
352082,0.991
352086,0.921
352093,0.0
352094,0.9379
352097,0.7906
352099,0.7093
352101,0.9178
352103,0.7845
352110,0.3708
352111,0.7959
352118,0.8973
352120,0.6588
352121,-0.3553
352122,0.0036
279814,0.9153
279817,0.9856
279820,0.1901
279821,0.8402
279824,0.9477
279827,0.4404
279828,0.0
279831,0.6924
279832,0.7245
279834,0.0516
279836,0.4939
279837,0.9238
279838,0.9801
279840,0.1779
279841,0.0
279843,0.5106
279844,-0.1312
279848,0.34
279852,0.6705
279853,0.7506
279854,0.8496
279855,-0.0772
279856,0.2213
279859,-0.6124
279860,0.3612
279869,0.7269
279873,0.8975
279874,-0.8625
279878,0.8118
279879,0.7579
279882,0.4939
279888,-0.2144
279891,0.7506
279892,0.4932
279894,0.7542
279895,-0.0516
279902,0.7184
279905,-0.0772
279911,0.3182
279912,0.0
279913,0.4897
352124,0.8928
352126,0.765
352130,-0.25
352131,0.5638
352133,0.7579
352135,0.8087
352137,0.9199
352140,-0.2375
352141,0.8074
352142,0.0
352144,0.3612
352145,0.4404
352146,0.9594
352148,0.6124
352153,0.6597
352161,0.7003
352162,0.5279
352166,0.9965
352168,0.0516
352169,0.4848
352170,0.9881
352171,0.6369
352172,0.8188
352173,0.1154
352176,0.8074
352182,0.1027
352183,-0.431
352188,0.3956
352191,0.9042
352192,0.9883
352194,-0.4019
352198,-0.4877
352201,-0.6124
352203,0.4215
352206,0.9612
279918,0.8808
279920,-0.4019
279922,0.7964
279926,0.4543
279928,0.631
279932,0.8689
279935,0.4404
279940,-0.1007
279943,0.7237
279946,0.9042
279948,0.0516
279949,0.1531
279956,0.8462
279961,-0.1884
279963,0.7902
279966,0.9259
279970,-0.1383
279971,-0.6369
279972,0.6908
279973,0.905
279978,-0.3612
279980,0.979
279982,0.4463
279983,0.5003
279984,0.919
279985,-0.7003
279989,-0.6918
279990,0.6306
279993,0.9313
279995,0.765
279998,-0.481
280000,0.34
280004,0.5859
280005,0.918
280006,0.0
280011,0.8957
280012,0.9598
280014,0.2144
280015,0.9566
280019,0.8286
280022,0.6903
280026,0.0
280031,-0.9694
280032,0.0
280034,-0.6897
